id;nota_anterior;valor;area
1;25854.66;7813.09;MATEMATICA_E_SUAS_TECNOLOGIAS
2;26927.59;31280.51;LINGUAGENS_CODIGOS_E_SUAS_TECNOLOGIAS
3;21157.24;14470.68;LINGUAGENS_CODIGOS_E_SUAS_TECNOLOGIAS
4;17387.82;517.47;MATEMATICA_E_SUAS_TECNOLOGIAS
5;21885.5;32387.42;CIENCIAS_DA_NATUREZA_E_SUAS_TECNOLOGIAS
6;18115.18;26969.32;LINGUAGENS_CODIGOS_E_SUAS_TECNOLOGIAS
7;24632.74;15286.23;MATEMATICA_E_SUAS_TECNOLOGIAS
8;12225.58;19130.38;LINGUAGENS_CODIGOS_E_SUAS_TECNOLOGIAS
9;1287.96;31420.07;CIENCIAS_HUMANAS_E_SUAS_TECNOLOGIAS
10;3902.94;30942.52;MATEMATICA_E_SUAS_TECNOLOGIAS
